,heuristic_param,seed,n_gen,reward,accuracy,variance,update,n_steps_proc,n_steps_acc,n_steps
2746,5,27,31,15.334726380683744,0.26875,207.1979341890525,False,114640,41740,156380
2747,5,27,32,30.14456853845086,0.26875,162.69512823734524,False,120000,41740,161740
2748,5,27,33,27.09979690928077,0.26875,234.91140887544796,False,125360,41740,167100
2749,5,27,34,16.981096197476433,0.26875,69.12810378703409,False,130720,41740,172460
2750,5,27,35,23.047167944396666,0.26875,191.7993461854485,False,136080,41740,177820
2751,5,27,36,-1.9493712572335955,0.26875,175.8437431355811,False,141440,41740,183180
2752,5,27,37,24.658749568090837,0.26875,203.86328469518872,False,146800,41740,188540
2753,5,27,38,15.719469224365737,0.26875,138.794465589604,False,152160,41740,193900
2754,5,27,39,31.88720315064844,0.26875,109.64455789988936,False,157520,41740,199260
2755,5,27,40,-8.844742986455508,0.26875,161.79423721580451,False,162880,41740,204620
2756,5,27,41,4.129341964110719,0.26875,297.90739956375603,False,168240,41740,209980
2757,5,27,42,18.943100933059885,0.49375,196.84467959389735,True,178100,64860,242960
2758,5,27,43,30.590191276196546,0.49375,183.92110686049628,False,187960,64860,252820
2759,5,27,44,34.335683755028995,0.49375,86.51867843171082,False,197820,64860,262680
2760,5,27,45,33.6034417562924,0.49375,108.11058449153008,False,207680,64860,272540
2761,5,27,46,23.540763810566084,0.49375,98.7336894142806,False,217540,64860,282400
2762,5,27,47,22.29299671858804,0.49375,411.9878482607921,False,227400,64860,292260
2763,5,27,48,26.0904102699573,0.49375,202.6649783362378,False,237260,64860,302120
2764,5,27,49,30.804613743433315,0.49375,239.761163073213,False,247120,64860,311980
2765,5,27,50,37.99705448629276,0.49375,209.7215547826572,False,256980,64860,321840
2766,5,27,51,29.67091188983453,0.49375,228.47599689020527,False,266840,64860,331700
2767,5,27,52,10.390756241179323,0.49375,220.08187299087317,False,276700,64860,341560
2768,5,27,53,28.73157253327556,0.49375,99.21956657150506,False,286560,64860,351420
2769,5,27,54,44.19428577007087,0.26875,166.35443236862707,True,291920,85730,377650
2770,5,27,55,95.47603497541552,0.26875,197.50766749299044,False,297280,85730,383010
2771,5,27,56,44.62808356484559,0.26875,130.60388642385433,False,302640,85730,388370
2772,5,27,57,27.801002802484103,0.26875,238.46133020048964,False,308000,85730,393730
2773,5,27,58,-17.929484683628402,0.26875,219.3910401548319,False,313360,85730,399090
2774,5,27,59,28.852254648880013,0.26875,209.39390742602524,False,318720,85730,404450
2775,5,27,60,41.46835280750612,0.26875,197.50113720008463,False,324080,85730,409810
2776,5,27,61,10.169920572881614,0.26875,268.7741375865211,False,329440,85730,415170
2777,5,27,62,21.222505923094666,0.26875,159.81277144992004,False,334800,85730,420530
2778,5,27,63,37.367748742410896,0.26875,140.16503456916212,False,340160,85730,425890
2779,5,27,64,-0.644100658178995,0.26875,130.81621308930124,False,345520,85730,431250
2780,5,27,65,2.226500912984675,0.26875,157.4307937538702,False,350880,85730,436610
2781,5,27,66,33.36788103266697,0.26875,239.4847836684716,False,356240,85730,441970
2782,5,27,67,38.81516649080572,0.26875,309.7758170386254,False,361600,85730,447330
2783,5,27,68,58.21261141641177,0.94375,417.74796427355415,True,380460,117850,498310
2784,5,27,69,78.39390115471664,0.94375,985.4957038930936,False,399320,117850,517170
2785,5,27,70,6.448726771389244,0.94375,1434.7764532584129,False,418180,117850,536030
2786,5,27,71,29.90393314689633,0.94375,1278.5044121776823,False,437040,117850,554890
2787,5,27,72,15.955043209829212,0.94375,1200.8331591901474,False,455900,117850,573750
2788,5,27,73,-24.519450898764493,0.94375,1719.583474925633,False,474760,117850,592610
2789,5,27,74,81.85659880362473,0.94375,1242.7917260145234,False,493620,117850,611470
2790,5,27,75,62.0903811578866,0.94375,605.3007231205854,False,512480,117850,630330
2791,5,27,76,24.62665448912211,0.49375,805.1303527273305,True,522340,140970,663310
2792,5,27,77,-33.456288676209105,0.94375,4601.953662906772,True,541200,173090,714290
2793,5,27,78,71.09393733229437,0.94375,2834.8621686334814,False,560060,173090,733150
2794,5,27,79,-52.30446644342877,0.94375,7790.952871771619,False,578920,173090,752010
2795,5,27,80,153.33743612753753,0.94375,4174.844519023854,False,597780,173090,770870
2796,5,27,81,147.80341768296947,0.94375,3598.095204946959,False,616640,173090,789730
2797,5,27,82,38.07416675701767,0.94375,2451.8023488047106,False,635500,173090,808590
2798,5,27,83,-53.80569708730802,0.94375,7128.406087776033,False,654360,173090,827450
2799,5,27,84,141.54776689831598,0.94375,6206.650787845945,False,673220,173090,846310
2800,5,27,85,36.706560526692826,0.94375,9523.06027859041,False,692080,173090,865170
2801,5,27,86,144.83338082995178,0.49375,1235.1460671914135,True,701940,196210,898150
2802,5,27,87,158.78863744869466,0.49375,869.8478504181503,True,711800,219330,931130
2803,5,27,88,110.4261750686264,0.49375,2218.4973179596354,False,721660,219330,940990
2804,5,27,89,127.28865681929337,0.49375,1568.4893414792743,False,731520,219330,950850
2805,5,27,90,-7.814694792864218,0.49375,1581.8026337153055,False,741380,219330,960710
2806,5,27,91,130.48194440864762,0.49375,1226.3160889040091,False,751240,219330,970570
2807,5,27,92,234.04057391298875,0.49375,721.6932457064584,False,761100,219330,980430
2808,5,27,93,176.958018929999,0.49375,761.8483668936668,False,770960,219330,990290
2809,5,27,94,221.70348519383333,0.49375,795.405947262572,False,780820,219330,1000150
2810,5,28,1,12.826739409173578,0.15625,226.603211857391,True,3120,20870,23990
2811,5,28,2,31.064586211379275,0.15625,213.53944348657652,False,6240,20870,27110
2812,5,28,3,9.6142289481817,0.15625,311.2005320453282,False,9360,20870,30230
2813,5,28,4,26.902870819854652,0.15625,312.2615501805411,False,12480,20870,33350
2814,5,28,5,20.350235684371164,0.15625,254.61585029538688,False,15600,20870,36470
2815,5,28,6,-22.048370493139764,0.15625,262.5864941390364,False,18720,20870,39590
2816,5,28,7,-36.988211224904944,0.15625,134.84769508536422,False,21840,20870,42710
2817,5,28,8,15.04195513700814,0.15625,318.73942573724264,False,24960,20870,45830
2818,5,28,9,18.167073286965092,0.15625,304.3961819479701,False,28080,20870,48950
2819,5,28,10,8.544243323473015,0.15625,289.3957568760514,False,31200,20870,52070
2820,5,28,11,-17.242757560439657,0.15625,267.3786867265058,False,34320,20870,55190
2821,5,28,12,-12.596558851118957,0.15625,318.26117287505934,False,37440,20870,58310
2822,5,28,13,-23.370525031884583,0.15625,294.13918849450994,False,40560,20870,61430
2823,5,28,14,14.931315052679532,0.15625,169.01750577638975,False,43680,20870,64550
2824,5,28,15,46.09392405345776,0.15625,149.59069684658817,False,46800,20870,67670
2825,5,28,16,-5.434903362310232,0.15625,275.0466456774208,False,49920,20870,70790
2826,5,28,17,-17.634548054028073,0.15625,167.11206171710847,False,53040,20870,73910
2827,5,28,18,2.024194193871391,0.15625,180.2223836413268,False,56160,20870,77030
2828,5,28,19,9.825278591891164,0.15625,199.2698345331219,False,59280,20870,80150
2829,5,28,20,16.05084935580519,0.15625,148.30241074050343,False,62400,20870,83270
2830,5,28,21,14.93132331306244,0.15625,176.8296442449784,False,65520,20870,86390
2831,5,28,22,32.05418008583709,0.15625,237.21263529502664,False,68640,20870,89510
2832,5,28,23,-71.90406421175496,0.15625,249.68837991319225,False,71760,20870,92630
2833,5,28,24,77.66345296124781,0.49375,1238.6002299757745,True,81620,43990,125610
2834,5,28,25,14.933047826082438,0.49375,1100.1908904163397,False,91480,43990,135470
2835,5,28,26,-21.43552517399682,0.49375,912.1377797595673,False,101340,43990,145330
2836,5,28,27,46.408207493585984,0.49375,1001.531809103087,False,111200,43990,155190
2837,5,28,28,33.00423136101388,0.49375,1157.038690487125,False,121060,43990,165050
2838,5,28,29,-4.7032013577460585,0.49375,1519.8576126469395,False,130920,43990,174910
2839,5,28,30,124.7385955252564,0.49375,1167.350951142348,False,140780,43990,184770
