,accuracy,n_policy,reward,steps
725,0.3,25,21.0,21.0
726,0.3,26,79.0,79.0
727,0.3,27,29.8,29.8
728,0.3,28,4.0,4.0
729,0.3,29,3.5,3.5
730,0.3,30,4.0,4.0
731,0.3,31,3.8,3.8
732,0.3,32,3.6,3.6
733,0.3,33,3.7,3.7
734,0.3,34,3.7,3.7
735,0.3,35,21.1,21.1
736,0.3,36,3.8,3.8
737,0.3,37,3.5,3.5
738,0.3,38,21.1,21.1
739,0.3,39,9.4,9.4
740,0.3,40,6.0,6.0
741,0.3,41,5.4,5.4
742,0.3,42,15.7,15.7
743,0.3,43,3.7,3.7
744,0.3,44,7.8,7.8
745,0.3,45,79.4,79.4
746,0.3,46,4.0,4.0
747,0.3,47,7.9,7.9
748,0.3,48,6.2,6.2
749,0.3,49,3.5,3.5
750,0.3,50,4.8,4.8
751,0.3,51,91.7,91.7
752,0.3,52,3.8,3.8
753,0.3,53,6.2,6.2
754,0.3,54,30.3,30.3
755,0.3,55,3.9,3.9
756,0.3,56,3.8,3.8
757,0.3,57,3.7,3.7
758,0.3,58,3.9,3.9
759,0.3,59,4.0,4.0
760,0.3,60,3.7,3.7
761,0.3,61,14.5,14.5
762,0.3,62,3.5,3.5
763,0.3,63,3.8,3.8
764,0.3,64,14.5,14.5
765,0.3,65,5.9,5.9
766,0.3,66,3.8,3.8
767,0.3,67,6.0,6.0
768,0.3,68,11.0,11.0
769,0.3,69,3.8,3.8
770,0.3,70,3.8,3.8
771,0.3,71,4.0,4.0
772,0.3,72,3.6,3.6
773,0.3,73,25.8,25.8
774,0.3,74,3.7,3.7
775,0.3,75,3.8,3.8
776,0.3,76,26.4,26.4
777,0.3,77,6.2,6.2
778,0.3,78,9.8,9.8
779,0.3,79,3.8,3.8
780,0.3,80,3.6,3.6
781,0.3,81,3.6,3.6
782,0.3,82,4.0,4.0
783,0.3,83,4.0,4.0
784,0.3,84,16.3,16.3
785,0.3,85,3.7,3.7
786,0.3,86,11.6,11.6
787,0.3,87,4.5,4.5
788,0.3,88,3.6,3.6
789,0.3,89,13.1,13.1
790,0.3,90,3.8,3.8
791,0.3,91,6.4,6.4
792,0.3,92,17.5,17.5
793,0.3,93,5.7,5.7
794,0.3,94,3.8,3.8
795,0.3,95,9.8,9.8
796,0.3,96,4.0,4.0
797,0.3,97,14.1,14.1
798,0.3,98,4.0,4.0
799,0.3,99,11.8,11.8
800,0.2,0,14.6,14.6
801,0.2,1,3.0,3.0
802,0.2,2,3.0,3.0
803,0.2,3,3.9,3.9
804,0.2,4,3.0,3.0
805,0.2,5,3.0,3.0
806,0.2,6,4.7,4.7
807,0.2,7,3.0,3.0
808,0.2,8,5.6,5.6
809,0.2,9,6.3,6.3
810,0.2,10,3.9,3.9
811,0.2,11,3.0,3.0
812,0.2,12,3.0,3.0
813,0.2,13,5.5,5.5
814,0.2,14,3.0,3.0
815,0.2,15,4.0,4.0
816,0.2,16,3.9,3.9
817,0.2,17,6.6,6.6
818,0.2,18,3.0,3.0
819,0.2,19,3.0,3.0
820,0.2,20,3.9,3.9
821,0.2,21,8.8,8.8
822,0.2,22,3.0,3.0
823,0.2,23,3.9,3.9
824,0.2,24,6.0,6.0
825,0.2,25,10.1,10.1
826,0.2,26,10.9,10.9
827,0.2,27,12.2,12.2
828,0.2,28,3.0,3.0
829,0.2,29,3.0,3.0
830,0.2,30,3.0,3.0
831,0.2,31,3.0,3.0
832,0.2,32,3.0,3.0
833,0.2,33,3.0,3.0
834,0.2,34,3.0,3.0
835,0.2,35,11.8,11.8
836,0.2,36,3.0,3.0
837,0.2,37,3.0,3.0
838,0.2,38,9.1,9.1
839,0.2,39,3.9,3.9
840,0.2,40,3.9,3.9
841,0.2,41,3.9,3.9
842,0.2,42,6.4,6.4
843,0.2,43,3.0,3.0
844,0.2,44,5.3,5.3
845,0.2,45,14.0,14.0
846,0.2,46,3.0,3.0
847,0.2,47,8.7,8.7
848,0.2,48,3.9,3.9
849,0.2,49,3.0,3.0
850,0.2,50,3.0,3.0
851,0.2,51,32.0,32.0
852,0.2,52,3.0,3.0
853,0.2,53,3.9,3.9
854,0.2,54,9.8,9.8
855,0.2,55,3.0,3.0
856,0.2,56,3.0,3.0
857,0.2,57,3.0,3.0
858,0.2,58,3.0,3.0
859,0.2,59,3.0,3.0
860,0.2,60,3.0,3.0
861,0.2,61,4.3,4.3
862,0.2,62,3.0,3.0
863,0.2,63,3.0,3.0
864,0.2,64,4.7,4.7
865,0.2,65,3.9,3.9
866,0.2,66,3.0,3.0
867,0.2,67,3.9,3.9
868,0.2,68,4.6,4.6
