,corr,train_seed,gen,n_eval,acc,score
324,0.9,6,24,653000,0.5499999999999999,0.07842435985994697
325,0.9,6,25,680000,0.5499999999999999,0.07842435985994697
326,0.9,6,26,707000,0.5499999999999999,0.07842435985994697
327,0.9,6,27,734000,0.5499999999999999,0.07842435985994697
328,0.9,6,28,761000,0.5499999999999999,0.07842435985994697
329,0.9,6,29,788000,0.5499999999999999,0.07842435985994697
330,0.9,6,30,815000,0.5499999999999999,0.07842435985994697
331,0.9,6,31,842000,0.5499999999999999,0.07842435985994697
332,0.9,6,32,869000,0.5499999999999999,0.07842435985994697
333,0.9,6,33,896000,0.5499999999999999,0.07842435985994697
334,0.9,6,34,923000,0.5499999999999999,0.07842435985994697
335,0.9,6,35,950000,0.5499999999999999,0.07842435985994697
336,0.9,6,36,977000,0.5499999999999999,0.07842435985994697
337,0.9,6,37,1004000,0.5499999999999999,0.07842435985994697
338,0.9,6,38,1031000,0.5499999999999999,0.07842435985994697
339,0.9,6,39,1058000,0.5499999999999999,0.07842435985994697
340,0.9,6,40,1085000,0.5499999999999999,0.07842435985994697
341,0.9,6,41,1112000,0.5499999999999999,0.07842435985994697
342,0.9,6,42,1139000,0.5499999999999999,0.07842435985994697
343,0.9,6,43,1166000,0.5499999999999999,0.07842435985994697
344,0.9,6,44,1193000,0.5499999999999999,0.07842435985994697
