,accuracy,train_seed,n_gen,n_ep,n_steps,reward
3135,0.8,52,35,720,576000,18.22479677392777
3136,0.8,52,36,740,592000,51.24498987859435
3137,0.8,52,37,760,608000,149.15813842172338
3138,0.8,52,38,780,624000,151.19655653883484
3139,0.8,52,39,800,640000,169.0917344195571
3140,0.8,52,40,820,656000,125.66161795417952
3141,0.8,52,41,840,672000,30.31813044041232
3142,0.8,52,42,860,688000,156.3862136532038
3143,0.8,52,43,880,704000,45.53886844629402
3144,0.8,52,44,900,720000,118.78139433314212
3145,0.8,52,45,920,736000,164.51732888455462
3146,0.8,52,46,940,752000,142.3999710114174
3147,0.8,52,47,960,768000,155.72827267785956
3148,0.8,52,48,980,784000,38.36347733250135
3149,0.8,52,49,1000,800000,-9.685581474344136
3150,0.8,52,50,1020,816000,115.8099558844073
3151,0.8,52,51,1040,832000,127.7056678183324
3152,0.8,52,52,1060,848000,-38.007573425157545
3153,0.8,52,53,1080,864000,206.6921521852268
3154,0.8,52,54,1100,880000,3.598364002712652
3155,0.8,52,55,1120,896000,93.5584994232424
3156,0.8,52,56,1140,912000,239.56482445968385
3157,0.8,52,57,1160,928000,233.25907493300548
3158,0.8,52,58,1180,944000,211.91345137856365
3159,0.8,52,59,1200,960000,205.2652042623364
3160,0.8,52,60,1220,976000,185.8849754545089
3161,0.8,52,61,1240,992000,226.0701539008015
3162,0.8,53,0,20,16000,-22.51358608073162
3163,0.8,53,1,40,32000,19.17941079059339
3164,0.8,53,2,60,48000,4.876033126731272
3165,0.8,53,3,80,64000,14.312768016803725
3166,0.8,53,4,100,80000,-18.881850055661594
3167,0.8,53,5,120,96000,-19.792720683562617
3168,0.8,53,6,140,112000,9.614417636265678
3169,0.8,53,7,160,128000,9.6142289481817
3170,0.8,53,8,180,144000,15.84665091327769
3171,0.8,53,9,200,160000,9.6142289481817
3172,0.8,53,10,220,176000,-9.078110246077085
3173,0.8,53,11,240,192000,-5.834271042146332
3174,0.8,53,12,260,208000,28.59837784377888
3175,0.8,53,13,280,224000,-8.439308218978065
3176,0.8,53,14,300,240000,-9.47955242558844
3177,0.8,53,15,320,256000,1.8744436768530937
3178,0.8,53,16,340,272000,9.6142289481817
3179,0.8,53,17,360,288000,9.6142289481817
3180,0.8,53,18,380,304000,-42.546317309614906
3181,0.8,53,19,400,320000,9.643685795417266
3182,0.8,53,20,420,336000,12.69482012937712
3183,0.8,53,21,440,352000,-14.729627203007226
3184,0.8,53,22,460,368000,12.504595510329532
3185,0.8,53,23,480,384000,-17.06289211418228
3186,0.8,53,24,500,400000,15.770019384617328
3187,0.8,53,25,520,416000,10.744760675050154
3188,0.8,53,26,540,432000,-24.251620871330065
3189,0.8,53,27,560,448000,-18.220296420439063
3190,0.8,53,28,580,464000,-11.305610710289796
3191,0.8,53,29,600,480000,-8.031010096518695
3192,0.8,53,30,620,496000,-32.757765259461415
3193,0.8,53,31,640,512000,13.65467529247167
3194,0.8,53,32,660,528000,9.6142289481817
3195,0.8,53,33,680,544000,17.833107527728096
3196,0.8,53,34,700,560000,74.23982722516382
3197,0.8,53,35,720,576000,79.18906431041079
3198,0.8,53,36,740,592000,83.07920151471278
3199,0.8,53,37,760,608000,89.63870433015163
3200,0.8,53,38,780,624000,45.74775485236751
3201,0.8,53,39,800,640000,-15.525752447710428
3202,0.8,53,40,820,656000,-24.763249453680107
3203,0.8,53,41,840,672000,57.82183338154257
3204,0.8,53,42,860,688000,60.121897880694725
3205,0.8,53,43,880,704000,84.54344284114914
3206,0.8,53,44,900,720000,72.0725358055882
3207,0.8,53,45,920,736000,-11.178621081164565
