,N,seed,n_turb,turb_score,eval_score,elapsed_time
401,20,2,125,0.4347527043454888,0.4992442175672328,449.1278250217438
402,20,2,126,0.1883523115455924,0.4992442175672328,453.3427975177765
403,20,2,127,0.0,0.4992442175672328,455.16068840026855
404,20,2,128,0.18305702182323963,0.4992442175672328,460.20167350769043
405,20,2,129,0.0,0.4992442175672328,464.2016477584839
406,20,2,130,0.21686494861499359,0.4992442175672328,466.16639614105225
407,20,2,131,0.0,0.4992442175672328,470.8018343448639
408,20,2,132,0.42878585532646457,0.4992442175672328,475.7046535015106
409,20,2,133,0.3842914807745395,0.4992442175672328,478.26876187324524
410,20,2,134,0.32011903572585226,0.4992442175672328,483.5119457244873
411,20,2,135,0.35968906241336895,0.4992442175672328,486.5826156139374
412,20,2,136,0.3956296408357086,0.4992442175672328,491.9268248081207
413,20,2,137,0.0,0.4992442175672328,496.2984881401062
414,20,2,138,0.0,0.4992442175672328,498.92771887779236
415,20,2,139,0.1884279590681915,0.4992442175672328,501.5470223426819
416,20,2,140,0.16165060899578426,0.4992442175672328,503.4748375415802
417,20,2,141,0.0,0.4992442175672328,508.5842213630676
418,20,2,142,0.0,0.4992442175672328,512.0155599117279
419,20,2,143,0.292747395508736,0.4992442175672328,514.148533821106
420,20,2,144,0.008233998262902293,0.4992442175672328,516.0366749763489
421,20,2,145,0.22500727499484544,0.4992442175672328,524.4564695358276
422,20,2,146,0.0,0.4992442175672328,527.6260757446289
423,20,2,147,0.0,0.4992442175672328,531.0298655033112
424,20,2,148,0.15679389651511974,0.4992442175672328,538.5486404895782
425,20,2,149,0.0,0.4992442175672328,541.879646062851
426,20,3,1,0.017496977448289135,0.017203074658833698,13.629955291748047
427,20,3,2,0.0,0.017203074658833698,18.279633283615112
428,20,3,3,0.0,0.017203074658833698,21.38031816482544
429,20,3,4,0.0,0.017203074658833698,26.128561973571777
430,20,3,5,0.0,0.017203074658833698,29.833863258361816
431,20,3,6,0.4504395845809731,0.4515064731223881,27.789726495742798
432,20,3,7,0.12401502952577877,0.4515064731223881,30.627349138259888
433,20,3,8,0.01165085949335983,0.4515064731223881,36.59350085258484
434,20,3,9,0.0,0.4515064731223881,40.42763137817383
