,heuristic_param,train_seed,threshold,variance,update,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
6400,"[5, 3]",42,,0.9856766794146667,True,0.15625,34,0.01031798197653,12.701335430145264,0.3745174407958984,562000,50127,612127
6401,"[5, 3]",42,,0.18825552897249,True,0.49375,35,0.01031798197653,13.079467058181764,0.3778684139251709,586000,58905,644905
6402,"[5, 3]",42,,0.1710971996619431,False,0.49375,36,0.01031798197653,13.415353536605837,0.3356435298919678,610000,58905,668905
6403,"[5, 3]",42,,0.1499126886127071,False,0.49375,37,0.01031798197653,13.74824595451355,0.3326520919799804,634000,58905,692905
6404,"[5, 3]",42,,0.1415654698411534,False,0.49375,38,0.01031798197653,14.079295635223389,0.3308010101318359,658000,58905,716905
6405,"[5, 3]",42,,0.1992719915660733,False,0.49375,39,0.01031798197653,14.406148195266724,0.326601505279541,682000,58905,740905
6406,"[5, 3]",42,,0.4680515052541448,False,0.49375,40,0.01031798197653,14.74228572845459,0.3358876705169678,706000,58905,764905
6407,"[5, 3]",42,,0.3718000826471575,True,0.15625,41,0.01031798197653,15.123212575912476,0.3806724548339844,713000,66836,779836
6408,"[5, 3]",42,,2.9750174312172573,False,0.15625,42,0.01031798197653,15.460134029388428,0.3366870880126953,720000,66836,786836
6409,"[5, 3]",42,,0.140844504964233,True,0.49375,43,0.01031798197653,15.843651056289673,0.3832635879516601,744000,75614,819614
