,heuristic_param,train_seed,threshold,variance,update,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
1032,0.8,11,,,False,0.15625,40,0.4021886828865724,14.07721495628357,0.3183777332305908,415000,48433,463433
1033,0.8,11,,,True,0.15625,41,0.4021886828865724,14.424485206604004,0.3470139503479004,422000,56364,478364
1034,0.8,11,,,False,0.15625,42,0.4021886828865724,14.750656366348268,0.3259274959564209,429000,56364,485364
1035,0.8,11,,,False,0.15625,43,0.4021886828865724,15.072969913482666,0.322063684463501,436000,56364,492364
1036,0.8,11,,,False,0.15625,44,0.4021886828865724,15.39949107170105,0.3262724876403808,443000,56364,499364
1037,0.8,11,,,False,0.15625,45,0.4021886828865724,15.734952211380005,0.3352227210998535,450000,56364,506364
1038,0.8,11,,,False,0.15625,46,0.4021886828865724,16.05320405960083,0.3179893493652344,457000,56364,513364
1039,0.8,11,,,False,0.15625,47,0.4021886828865724,16.378641366958618,0.3251831531524658,464000,56364,520364
1040,0.8,11,,,False,0.15625,48,0.4021886828865724,16.757415294647217,0.3785130977630615,471000,56364,527364
1041,0.8,11,,,False,0.15625,49,0.4021886828865724,17.079585552215576,0.3219141960144043,478000,56364,534364
1042,0.8,11,,,True,0.49375,50,0.3684178249168067,17.451176404953003,0.3713314533233642,502000,65142,567142
1043,0.8,11,,,False,0.49375,51,0.3684178249168067,17.78332281112671,0.3318929672241211,526000,65142,591142
1044,0.8,11,,,False,0.49375,52,0.3240928810212326,18.119866847991943,0.3362882137298584,550000,65142,615142
1045,0.8,11,,,False,0.49375,53,0.3260792688635544,18.46167755126953,0.3415307998657226,574000,65142,639142
1046,0.8,11,,,True,0.15625,54,0.436800927465938,18.849568367004395,0.3875894546508789,581000,73073,654073
1047,0.8,11,,,False,0.15625,55,0.436800927465938,19.1861891746521,0.3363363742828369,588000,73073,661073
1048,0.8,11,,,False,0.15625,56,0.436800927465938,19.517292737960812,0.3308212757110595,595000,73073,668073
1049,0.8,11,,,False,0.15625,57,0.4021886828865724,19.849278926849365,0.3317196369171142,602000,73073,675073
1050,0.8,11,,,False,0.15625,58,0.4021886828865724,20.17323112487793,0.3236820697784424,609000,73073,682073
1051,0.8,11,,,False,0.15625,59,0.4021886828865724,20.502820014953613,0.3293333053588867,616000,73073,689073
1052,0.8,11,,,False,0.15625,60,0.4021886828865724,20.834235429763797,0.331155776977539,623000,73073,696073
1053,0.8,11,,,False,0.15625,61,0.4021886828865724,21.1587028503418,0.3242137432098388,630000,73073,703073
1054,0.8,11,,,False,0.15625,62,0.4021886828865724,21.490678548812863,0.3317353725433349,637000,73073,710073
1055,0.8,11,,,True,0.15625,63,0.4021886828865724,21.84403371810913,0.3530969619750976,644000,81004,725004
1056,0.8,11,,,False,0.15625,64,0.4021886828865724,22.1719708442688,0.3276708126068115,651000,81004,732004
1057,0.8,11,,,False,0.15625,65,0.4021886828865724,22.499890089035038,0.3276562690734863,658000,81004,739004
1058,0.8,11,,,False,0.15625,66,0.4021886828865724,22.83425736427307,0.3340940475463867,665000,81004,746004
1059,0.8,11,,,False,0.15625,67,0.4021886828865724,23.212627410888672,0.378101110458374,672000,81004,753004
1060,0.8,11,,,False,0.15625,68,0.4021886828865724,23.541661500930783,0.3287506103515625,679000,81004,760004
1061,0.8,11,,,False,0.15625,69,0.4021886828865724,23.874341011047363,0.3324263095855713,686000,81004,767004
1062,0.8,11,,,False,0.15625,70,0.4021886828865724,24.20079278945923,0.3261885643005371,693000,81004,774004
1063,0.8,11,,,False,0.15625,71,0.4021886828865724,24.53589463233948,0.3348515033721924,700000,81004,781004
1064,0.8,11,,,True,0.15625,72,0.4021886828865724,24.88860845565796,0.3524503707885742,707000,88935,795935
1065,0.8,11,,,False,0.15625,73,0.4021886828865724,25.227741956710812,0.3388717174530029,714000,88935,802935
1066,0.8,11,,,False,0.15625,74,0.4606807446230647,25.558432579040527,0.330423355102539,721000,88935,809935
1067,0.8,11,,,False,0.15625,75,0.4021886828865724,25.89380121231079,0.3351013660430908,728000,88935,816935
1068,0.8,11,,,False,0.15625,76,0.4021886828865724,26.226089239120483,0.3319871425628662,735000,88935,823935
1069,0.8,11,,,False,0.15625,77,0.4021886828865724,26.55319380760193,0.3268191814422607,742000,88935,830935
1070,0.8,11,,,False,0.15625,78,0.4021886828865724,26.888468027114868,0.3350112438201904,749000,88935,837935
1071,0.8,11,,,False,0.15625,79,0.4021886828865724,27.226240396499637,0.3374760150909424,756000,88935,844935
1072,0.8,11,,,False,0.15625,80,0.4021886828865724,27.565033197402958,0.3385293483734131,763000,88935,851935
1073,0.8,11,,,True,0.15625,81,0.4021886828865724,27.92503547668457,0.3597335815429687,770000,96866,866866
1074,0.8,11,,,False,0.15625,82,0.4021886828865724,28.26108980178833,0.3357770442962646,777000,96866,873866
1075,0.8,11,,,False,0.15625,83,0.4021886828865724,28.59376716613769,0.332406997680664,784000,96866,880866
